latitude,longitude,indexmatch,rownum,last_name,dist,county,delegate,hb0980,track,nimsp_candidate_id,full_name,id,first_name,middle_name,district,district_padded,sort1,state,votesmart_id,party,email,all_ids/0,all_ids/1,leg_id,active,transparencydata_id,nickname,photo_url,url,country,created_at,level,nimsp_id,phone,offices/0/address,suffixes,all_ids/2,twitter
39.59149004,-79.1173274,1A,46,Beitzel,1A,Garrett & Allegany,"Beitzel, Wendell R.",NAY,c,80704,Wendell R Beitzel,MDL000247,Wendell,R,1A,01A,1,md,66729,Republican,wendell.beitzel@house.state.md.us,MDL000247,MDL000480,MDL000247,TRUE,b89adea064134919ad82b3427a59d5a2,,http://mgaleg.maryland.gov/2015RS/images/beitzel.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=beitzel&stab=01,us,8/27/2010 22:54:00,state,8567,410-841-3435,"309 House Office Building
 6 Bladen Street
 Annapolis, MD 21401
 Fax: 301-858-3040",,,bietzelw
39.67322086,-78.837856,1B,47,Buckel,1B,Allegany,"Buckel, Jason C.",NAY,c,,Jason C. Buckel,MDL000637,Jason C.,,1B,01B,1,md,,Republican,Jason.Buckel@house.state.md.us,MDL000637,,MDL000637,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/buckel01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=buckel01&stab=01,,1/14/2015 21:51:00,,,410-841-3404,"309 House Office Building
 6 Bladen Street
 Annapolis, MD 21401",,,
39.6752752,-78.29525214,1C,48,McKay,1C,Allegany & Washington,"McKay, Mike",NAY,c,,Mike McKay,MDL000628,Mike,,1C,01C,1,md,,Republican,Mike.McKay@house.state.md.us,MDL000628,,MDL000628,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/mckay01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=mckay01&stab=01,,1/14/2015 21:51:00,,,410-841-3321,"322 House Office Building
 6 Bladen Street
 Annapolis, MD 21401",,,lavaledryclean
39.64646669,-77.60564061,2A,70,Wivell,2A,Washington,"Wivell, William J.",NAY,f,,William J. Wivell,MDL000719,William J.,,2A,02A,2,md,,Republican,william.wivell@house.state.md.us,MDL000719,,MDL000719,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/wivell01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=wivell01&stab=01,,3/18/2015 1:13:00,,,410-841-3447,"322 House Office Building
 6 Bladen St.
 Annapolis, MD 21401",,,
39.47891358,-77.6955461,2A,71,Parrott,2A,Washington,"Parrott, Neil",NAY,f,,Neil Parrott,MDL000648,Neil,,2A,02A,2,md,,Republican,neil.parrott@house.state.md.us,MDL000648,,MDL000648,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/parrott.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=parrott&stab=01,,1/14/2015 21:51:00,,,410-841-3636,"213 House Office Building
 6 Bladen Street
 Annapolis, MD 21401
 Fax: 301-858-3308",,,neilparrott
39.64175697,-77.72571553,2B,72,Wilson,2B,Washington,"Wilson, Brett",NAY,c,,Brett Wilson,MDL000696,Brett,,2B,02B,2,md,,Republican,brett.wilson@house.state.md.us,MDL000696,,MDL000696,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/wilson01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=wilson01&stab=01,,1/14/2015 21:51:00,,,410-841-3125,"213 House Office Building
 6 Bladen Street
 Annapolis, MD 21401",,,
39.14856653,-77.26473995,3A,85,Young,3A,Frederick,"Young, Karen Lewis",YEA,f,,Karen Lewis Young,MDL000675,Karen Lewis,,3A,03A,3,md,,Democrat,Karen.Young@house.state.md.us,MDL000675,,MDL000675,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/young02.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=young02&stab=01,,1/14/2015 21:51:00,,,410-841-3436,"217 House Office Building
 6 Bladen Street
 Annapolis, MD 21401",,,KarenLewisYoung
39.4214225,-77.36897234,3A,86,Krimm,3A,Frederick,"Krimm, Carol L.",YEA,f,,Carol L. Krimm,MDL000672,Carol L.,,3A,03A,3,md,,Democrat,Carol.Krimm@house.state.md.us,MDL000672,,MDL000672,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/krimm01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=krimm01&stab=01,,1/14/2015 21:51:00,,,410-841-3472,"215 House Office Building
 6 Bladen Street
 Annapolis, MD 21401",,,
39.33313568,-77.49151884,3B,87,Folden,3B,Frederick,"Folden, William",NAY,c,,William Folden,MDL000699,William,,3B,03B,3,md,,Republican,William.Folden@house.state.md.us,MDL000699,,MDL000699,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/folden01.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=folden01&stab=01,,1/14/2015 21:51:00,,,410-841-3240,"405 House Office Building
 6 Bladen Street
 Annapolis, MD 21401
 Fax: 410-841-3481 | 301-858-3481",,,
39.59119981,-77.3858349,4,1,Afzali,4,Frederick & Carroll,"Afzali, Kathy",NAY,c,,Kathy Afzali,MDL000676,Kathy,,4,004,4,md,,Republican,kathy.afzali@house.state.md.us,MDL000676,,MDL000676,TRUE,,,http://mgaleg.maryland.gov/2015RS/images/afzali.jpg,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=sponpage&tab=subject6&id=afzali&stab=01,,1/14/2015 21:51:00,,,410-841-3288,"326 House Office Building
 6 Bladen Street
 Annapolis, MD 21401
 Fax: 301-858-3184",,,Kathy_Afzali
